cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,city_pop,job,trans_num,EVENT_TIMESTAMP,EVENT_LABEL,ENTITY_TYPE,ENTITY_ID,EVENT_ID
6011399591920186,fraud_Bahringer-Streich,food_dining,4.66,Maria,Roy,F,"58665 Nicholas Ford Suite 348",Sheffield,MA,1257,2121,"Radio producer","02978ede3e9c17bd84d149034bcffc05","2020-12-08 19:34:56.0",legit,customer,unknown,"02978ede3e9c17bd84d149034bcffc05"
372509258176510,"fraud_Kihn, Brakus and Goyette",personal_care,37.32,Kristen,Hanson,F,"26544 Andrea Glen",Goodrich,MI,48438,6951,"Learning disability nurse","1ef34d5f426945962641303edfed66f7","2020-12-21 21:05:06.0",legit,customer,unknown,"1ef34d5f426945962641303edfed66f7"
376028110684021,fraud_Douglas-White,entertainment,64.04,Aaron,Murray,M,"624 Hale Springs Apt. 572",Meadville,MO,64659,964,"Tourist information centre manager","f8f1aed539e9be1329627877176c19f8","2020-09-15 16:00:23.0",legit,customer,unknown,"f8f1aed539e9be1329627877176c19f8"
4302480582202074,fraud_Friesen-Stamm,gas_transport,60.4,David,Rodriguez,M,"821 Solis Points",Muskegon,MI,49440,128715,"Historic buildings inspector/conservation officer","537bed7cb320539f4e21781dee4fa1f6","2020-12-19 05:59:09.0",legit,customer,unknown,"537bed7cb320539f4e21781dee4fa1f6"
4640395708703,"fraud_Skiles LLC",home,22.66,Melissa,Krause,F,"67632 Martin Gateway",Fordoche,LA,70732,1178,"Community education officer","94e90747aabd10de73f70a75344395e3","2020-11-07 14:03:08.0",legit,customer,unknown,"94e90747aabd10de73f70a75344395e3"
213174467670432,"fraud_Zemlak, Tillman and Cremin",personal_care,59.9,James,Bishop,M,"7055 Fernandez Estates Apt. 676",Cecilton,MD,21913,663,Podiatrist,"2f25f5223c2abf0a694b59c613744fdd","2020-11-08 17:28:01.0",legit,customer,unknown,"2f25f5223c2abf0a694b59c613744fdd"
5359543825610251,"fraud_Labadie, Treutel and Bode",shopping_net,4.1,Michael,Francis,M,"1833 Jeanette Stravenue",Belgrade,MT,59714,18182,"Engineer, drilling","b2e3b9a4a37a2b27126aa66da9f46eec","2020-10-14 14:19:52.0",legit,customer,unknown,"b2e3b9a4a37a2b27126aa66da9f46eec"
3538520143479972,"fraud_Friesen-D'Amore",gas_transport,51.38,Cassandra,Nunez,F,"9572 Austin Forge Suite 612","Clay Center",OH,43408,269,"Insurance underwriter","7c249d36d2139157b24bdef06373e193","2020-10-14 03:01:10.0",legit,customer,unknown,"7c249d36d2139157b24bdef06373e193"
6534628260579800,"fraud_Bernier, Streich and Jewess",grocery_net,25.31,Christine,Harris,F,"29606 Martinez Views Suite 653",Hinesburg,VT,5461,4542,"Claims inspector/assessor","a08a204ac17726ed247562c656bc0d0f","2020-12-27 07:56:19.0",legit,customer,unknown,"a08a204ac17726ed247562c656bc0d0f"
4642255475285942,fraud_Pouros-Conroy,shopping_pos,2.86,Sabrina,Johnson,F,"320 Nicholson Orchard",Thompson,UT,84540,46,"Surveyor, minerals","840ccbbf04cdfa74c3755bb6b0be89e1","2020-12-18 21:54:49.0",legit,customer,unknown,"840ccbbf04cdfa74c3755bb6b0be89e1"
