cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,city_pop,job,trans_num,EVENT_TIMESTAMP,ENTITY_TYPE,ENTITY_ID,EVENT_ID,MODEL_SCORES,OUTCOMES,RULE_RESULTS,STATUS
180046165512893,fraud_Macejkovic-Lesch,shopping_pos,245.97,Erica,Walker,F,084 Holmes Avenue Suite 206,Stayton,OR,97383,9587,"Engineer, biomedical",6cee353a9d618adfbb12ecad9d427244,2020-10-13T09:21:53.000Z,customer,unknown,6cee353a9d618adfbb12ecad9d427244,{'fraud_model': 753.0},medium_risk,"{""review"": [""medium_risk""]}",Success
4783226709001,fraud_Waelchi Inc,kids_pets,19.7,Jessica,Garcia,F,13108 Jennifer Passage,Mc Cracken,KS,67556,320,Film/video editor,06aab943dd9fd64bb9b397e55beab6b7,2020-12-26T14:33:16.000Z,customer,unknown,06aab943dd9fd64bb9b397e55beab6b7,{'fraud_model': 936.0},high_risk,"{""investigate"": [""high_risk""]}",Success
213125815021702,fraud_Kilback LLC,grocery_pos,82.49,Adam,Kirk,M,40847 Stark Junctions,Big Indian,NY,12410,397,Psychiatrist,7ff89c21b51b9423cf382f77c7c47f40,2020-09-08T02:43:16.000Z,customer,unknown,7ff89c21b51b9423cf382f77c7c47f40,{'fraud_model': 2.0},low_risk,"{""approve"": [""low_risk""]}",Success
3537797820923602,fraud_Huels-Hahn,gas_transport,85.36,Christie,Mendoza,F,53142 Katrina Roads Suite 889,Monitor,WA,98836,584,Medical technical officer,d394398a95e7452dca2ebc669a352d24,2020-11-16T03:49:25.000Z,customer,unknown,d394398a95e7452dca2ebc669a352d24,{'fraud_model': 92.0},low_risk,"{""approve"": [""low_risk""]}",Success
3511378610369890,fraud_Price Inc,shopping_net,6.35,James,Cooper,M,663 Ramirez Trace Apt. 951,Huntsville,AL,35811,190178,Television production assistant,2e430cd43d74918f396c420ed6a4171c,2020-12-23T21:03:08.000Z,customer,unknown,2e430cd43d74918f396c420ed6a4171c,{'fraud_model': 2.0},low_risk,"{""approve"": [""low_risk""]}",Success
4450831335606294,"fraud_Baumbach, Strosin and Nicolas",shopping_pos,9.8,Donna,Davis,F,6760 Donovan Lakes,Clayton,OK,74536,1760,Occupational psychologist,c8759dfb80cdb7a6afdc8f1f197c6db5,2020-10-02T17:16:01.000Z,customer,unknown,c8759dfb80cdb7a6afdc8f1f197c6db5,{'fraud_model': 44.0},low_risk,"{""approve"": [""low_risk""]}",Success
6011652924285713,fraud_Pacocha-O'Reilly,grocery_pos,98.6,Kathryn,Smith,F,19838 Tonya Prairie Apt. 947,Rocky Mount,MO,65072,1847,Tax inspector,17595c8a1b5acae84931ff6da9d7c988,2020-10-06T06:04:38.000Z,customer,unknown,17595c8a1b5acae84931ff6da9d7c988,{'fraud_model': 0.0},low_risk,"{""approve"": [""low_risk""]}",Success
371985236239474,"fraud_Schaefer, Maggio and Daugherty",gas_transport,58.42,Benjamin,Martin,M,0495 Baker Manors,Oriskany Falls,NY,13425,1970,"Programmer, multimedia",560bebc9d896350f61950f2c0d47d55b,2020-12-14T04:44:20.000Z,customer,unknown,560bebc9d896350f61950f2c0d47d55b,{'fraud_model': 8.0},low_risk,"{""approve"": [""low_risk""]}",Success
4451438912406400,fraud_Nienow PLC,entertainment,131.79,Cheryl,Morgan,F,7535 Amanda Manors Suite 293,Norman,AR,71960,1383,Manufacturing engineer,6ef77223aea80d9a3d91816f42d4fdc8,2020-09-06T15:08:12.000Z,customer,unknown,6ef77223aea80d9a3d91816f42d4fdc8,{'fraud_model': 181.0},low_risk,"{""approve"": [""low_risk""]}",Success
6011367958204270,"fraud_Mosciski, Ziemann and Farrell",shopping_net,26.75,Tammy,Ayers,F,1652 James Mews,Hinckley,OH,44233,7646,Medical sales representative,4ddc405cab638ed3cc62b76b01669c74,2020-12-01T23:01:05.000Z,customer,unknown,4ddc405cab638ed3cc62b76b01669c74,{'fraud_model': 3.0},low_risk,"{""approve"": [""low_risk""]}",Success
4040099974063068803,fraud_Jakubowski Group,food_dining,57.37,Jeffrey,Lewis,M,24255 Bryan Square,Palermo,ND,58769,229,Administrator,46f443775695e454684dec61624c4172,2020-08-30T21:53:18.000Z,customer,unknown,46f443775695e454684dec61624c4172,{'fraud_model': 330.0},low_risk,"{""approve"": [""low_risk""]}",Success
4512828414983801773,"fraud_Armstrong, Walter and Gottlieb",food_dining,102.07,Monica,Cohen,F,864 Reynolds Plains,Uledi,PA,15484,328,Tree surgeon,b3ddb8ac1bdd038478529a41fc24c822,2020-12-20T21:16:00.000Z,customer,unknown,b3ddb8ac1bdd038478529a41fc24c822,{'fraud_model': 528.0},low_risk,"{""approve"": [""low_risk""]}",Success
375248307838179,fraud_Brekke and Sons,gas_transport,50.9,Joshua,Mendoza,M,4215 Miranda Field Suite 326,Tallmansville,WV,26237,571,Accounting technician,ed5a9291216e9b7ee49638f5794bacb0,2020-11-08T03:28:04.000Z,customer,unknown,ed5a9291216e9b7ee49638f5794bacb0,{'fraud_model': 16.0},low_risk,"{""approve"": [""low_risk""]}",Success
372520049757633,"fraud_Runolfsdottir, Mueller and Hand",entertainment,95.34,Lori,Ramirez,F,4293 Ramirez Squares,Ranier,MN,56668,136,Ceramics designer,99c776fd3203939da2de5aa15136d2e1,2020-12-14T15:20:04.000Z,customer,unknown,99c776fd3203939da2de5aa15136d2e1,{'fraud_model': 24.0},low_risk,"{""approve"": [""low_risk""]}",Success
4427805710168,fraud_Stark-Batz,entertainment,27.56,Michelle,Rodriguez,F,1742 Brandon Squares Apt. 461,Ruidoso,NM,88355,8874,Licensed conveyancer,4a768bedc4367538f6ffa56060525a65,2020-09-29T23:36:09.000Z,customer,unknown,4a768bedc4367538f6ffa56060525a65,{'fraud_model': 83.0},low_risk,"{""approve"": [""low_risk""]}",Success
4536996888716062123,fraud_Hintz-Bruen,grocery_net,39.72,Nathan,Mendoza,M,767 Adam Mill Apt. 115,Espanola,NM,87533,18408,Historic buildings inspector/conservation officer,03b7d39e2fbc0a14841982c23a680f85,2020-10-30T06:32:42.000Z,customer,unknown,03b7d39e2fbc0a14841982c23a680f85,{'fraud_model': 32.0},low_risk,"{""approve"": [""low_risk""]}",Success
373905417449658,fraud_Heller-Abshire,grocery_net,42.86,Sarah,Bishop,F,554 Mcdonald Valley Apt. 539,Meridian,TX,76665,2526,Phytotherapist,68525eae0c92c7ad16d3a2706aa61f06,2020-12-18T02:56:34.000Z,customer,unknown,68525eae0c92c7ad16d3a2706aa61f06,{'fraud_model': 107.0},low_risk,"{""approve"": [""low_risk""]}",Success
213178850083780,fraud_Heidenreich PLC,grocery_pos,119.2,Shawn,King,M,31493 Garcia Summit,Athena,OR,97813,1302,Dealer,bafcc2f4ed915ee22024209cd9005b67,2020-11-21T01:54:27.000Z,customer,unknown,bafcc2f4ed915ee22024209cd9005b67,{'fraud_model': 6.0},low_risk,"{""approve"": [""low_risk""]}",Success
676102124465,fraud_Little-Gleichner,travel,5.78,Natasha,Mclaughlin,F,8699 Lindsay Ford Apt. 486,Napa,CA,94558,94014,Airline pilot,457d003b432af977f2a2bbffb26a15b4,2020-11-26T12:22:38.000Z,customer,unknown,457d003b432af977f2a2bbffb26a15b4,{'fraud_model': 398.0},low_risk,"{""approve"": [""low_risk""]}",Success
4725673654161314,"fraud_Moen, Reinger and Murphy",grocery_pos,117.5,Alex,White,M,874 Fred Knolls Apt. 609,Orient,NY,11957,743,Video editor,de92afded01ef8fed9f204d8035cdf9f,2020-09-10T05:33:11.000Z,customer,unknown,de92afded01ef8fed9f204d8035cdf9f,{'fraud_model': 5.0},low_risk,"{""approve"": [""low_risk""]}",Success
30428204673351,"fraud_Ferry, Lynch and Kautzer",misc_net,131.29,Greg,Villarreal,M,2851 Foster Shoals,Schaefferstown,PA,17088,823,Gaffer,8642af2ae8e69a81c85a02b1d16fbb2a,2020-10-27T01:10:24.000Z,customer,unknown,8642af2ae8e69a81c85a02b1d16fbb2a,{'fraud_model': 31.0},low_risk,"{""approve"": [""low_risk""]}",Success
6534628260579800,fraud_Torp-Labadie,gas_transport,48.04,Christine,Harris,F,29606 Martinez Views Suite 653,Hinesburg,VT,5461,4542,Claims inspector/assessor,30c0bef98195929dba2a8d1c8be3ef8c,2020-12-28T04:38:04.000Z,customer,unknown,30c0bef98195929dba2a8d1c8be3ef8c,{'fraud_model': 18.0},low_risk,"{""approve"": [""low_risk""]}",Success
6597888193422452,fraud_Lynch-Wisozk,home,231.67,Bill,Lane,M,4725 Hurst Curve Apt. 634,Holliday,TX,76366,2317,Chief Technology Officer,b427a07aadf4bcb5b7726621a4e03192,2020-10-05T16:39:16.000Z,customer,unknown,b427a07aadf4bcb5b7726621a4e03192,{'fraud_model': 862.0},medium_risk,"{""review"": [""medium_risk""]}",Success
30364087349027,fraud_Homenick LLC,personal_care,116.96,Samuel,Sandoval,M,0005 Morrison Land,Mounds,OK,74047,7163,Fitness centre manager,3893b412e2ffdb48afcb12b70fbdbf8c,2020-10-01T16:59:40.000Z,customer,unknown,3893b412e2ffdb48afcb12b70fbdbf8c,{'fraud_model': 816.0},medium_risk,"{""review"": [""medium_risk""]}",Success
584673555952,fraud_Shanahan-Lehner,personal_care,83.31,Jessica,Jordan,F,071 Wise Trace,Coleharbor,ND,58531,307,Make,bb0aa3d2ff5e4ca3f078a14771b3fb36,2020-10-17T19:35:03.000Z,customer,unknown,bb0aa3d2ff5e4ca3f078a14771b3fb36,{'fraud_model': 213.0},low_risk,"{""approve"": [""low_risk""]}",Success
4951647200979051,fraud_Bauch-Blanda,entertainment,18.89,Kimberly,Miller,F,75533 Tamara Valleys,Logan,IL,62856,324,"Scientist, research (physical sciences)",6cd2bbd3d8cc8b5300cc246785d42171,2020-12-30T12:11:04.000Z,customer,unknown,6cd2bbd3d8cc8b5300cc246785d42171,{'fraud_model': 682.0},low_risk,"{""approve"": [""low_risk""]}",Success
6573561108825071,fraud_Brekke and Sons,gas_transport,55.77,Kristina,Lewis,F,5449 Brandi Heights Apt. 111,Tulsa,OK,74130,413574,Bookseller,9d96b29d3ac6a8fc64d647c20e3f816a,2020-09-04T01:43:25.000Z,customer,unknown,9d96b29d3ac6a8fc64d647c20e3f816a,{'fraud_model': 34.0},low_risk,"{""approve"": [""low_risk""]}",Success
4512828414983801773,fraud_McDermott-Weimann,grocery_pos,105.66,Monica,Cohen,F,864 Reynolds Plains,Uledi,PA,15484,328,Tree surgeon,13e2a80a3a0f51419f4b0d5d05484898,2020-11-18T11:00:54.000Z,customer,unknown,13e2a80a3a0f51419f4b0d5d05484898,{'fraud_model': 2.0},low_risk,"{""approve"": [""low_risk""]}",Success
675909898057,"fraud_O'Connell, Botsford and Hand",home,82.74,Christopher,Henry,M,1198 Robert Stravenue Apt. 479,Armonk,NY,10504,7987,Television/film/video producer,3534a8f6edbf4af7b7555ddfa23b3a82,2020-10-06T22:46:53.000Z,customer,unknown,3534a8f6edbf4af7b7555ddfa23b3a82,{'fraud_model': 53.0},low_risk,"{""approve"": [""low_risk""]}",Success
3583635130604947,fraud_Morissette LLC,entertainment,80.53,Crystal,Gamble,F,899 Michele View Suite 960,Philadelphia,PA,19149,1526206,Structural engineer,a6e0c4cf6e0361fb6dd91e8bf4f99a3a,2020-12-01T14:38:16.000Z,customer,unknown,a6e0c4cf6e0361fb6dd91e8bf4f99a3a,{'fraud_model': 25.0},low_risk,"{""approve"": [""low_risk""]}",Success
343472729187663,fraud_Cummerata-Jones,gas_transport,52.29,Gloria,Wallace,F,234 Bridges Wells Apt. 389,Center Tuftonboro,NH,3816,1368,"Optician, dispensing",e7178f4cb74ab05f0c69ec8f0aed4bee,2020-12-31T01:40:26.000Z,customer,unknown,e7178f4cb74ab05f0c69ec8f0aed4bee,{'fraud_model': 32.0},low_risk,"{""approve"": [""low_risk""]}",Success
3596217206093829,fraud_Berge-Ullrich,home,64.46,Sara,Ramirez,F,23843 Scott Island,Birmingham,IA,52535,888,Camera operator,23767b68a958859a68f83915de2a5cac,2020-10-08T12:37:45.000Z,customer,unknown,23767b68a958859a68f83915de2a5cac,{'fraud_model': 33.0},low_risk,"{""approve"": [""low_risk""]}",Success
6597888193422452,fraud_Schoen-Quigley,kids_pets,2.29,Bill,Lane,M,4725 Hurst Curve Apt. 634,Holliday,TX,76366,2317,Chief Technology Officer,2cc8765def97a3654f5093d7d0225acd,2020-11-01T14:25:42.000Z,customer,unknown,2cc8765def97a3654f5093d7d0225acd,{'fraud_model': 415.0},low_risk,"{""approve"": [""low_risk""]}",Success
4292743669224718067,"fraud_Boehm, Block and Jakubowski",misc_pos,9.94,Michael,Williams,M,35822 Clayton Street Apt. 679,Great Mills,MD,20634,5927,Art therapist,7cb7dc204b76f5c70300c5effae0c76f,2020-12-15T19:57:55.000Z,customer,unknown,7cb7dc204b76f5c70300c5effae0c76f,{'fraud_model': 675.0},low_risk,"{""approve"": [""low_risk""]}",Success
4561546772499,fraud_Huels-Hahn,gas_transport,63.38,Daniel,Briggs,M,7118 Jessica Unions Apt. 789,Moriarty,NM,87035,7268,"Therapist, art",439911f063bdf2dfe39e54e1c0d15a11,2020-12-25T04:56:50.000Z,customer,unknown,439911f063bdf2dfe39e54e1c0d15a11,{'fraud_model': 9.0},low_risk,"{""approve"": [""low_risk""]}",Success
